Trp_i,Trp_j,Distance_A,Regime
36,47,8.62,coupled
63,339,11.43,coupled
76,79,8.83,coupled
76,82,9.17,coupled
76,118,11.83,coupled
76,128,14.98,coupled
79,82,11.56,coupled
79,128,11.91,coupled
82,118,6.40,coupled
82,128,12.25,coupled
99,234,9.71,coupled
99,332,13.69,coupled
118,128,10.98,coupled
169,211,14.32,coupled
234,281,12.40,coupled
236,261,13.41,coupled
236,267,6.03,coupled
261,267,12.81,coupled
277,281,13.46,coupled
281,332,7.89,coupled
297,339,14.97,coupled
36,63,46.59,relay
36,76,109.26,relay
36,79,102.49,relay
36,82,106.21,relay
36,99,35.34,relay
36,118,111.39,relay
36,128,106.94,relay
36,169,40.90,relay
36,211,34.01,relay
36,234,26.06,relay
36,236,63.40,relay
36,261,63.16,relay
36,267,67.14,relay
36,277,23.66,relay
36,281,26.97,relay
36,290,86.30,relay
36,297,36.52,relay
36,332,34.37,relay
36,339,45.49,relay
36,361,76.03,relay
36,406,48.59,relay
47,63,43.99,relay
47,76,103.40,relay
47,79,96.92,relay
47,82,100.61,relay
47,99,28.95,relay
47,118,106.01,relay
47,128,102.02,relay
47,169,37.72,relay
47,211,33.81,relay
47,234,20.35,relay
47,236,57.13,relay
47,261,55.92,relay
47,267,60.88,relay
47,277,16.68,relay
47,281,22.16,relay
47,290,80.32,relay
47,297,36.93,relay
47,332,29.72,relay
47,339,43.18,relay
47,361,69.86,relay
47,406,46.10,relay
63,76,97.48,relay
63,79,90.10,relay
63,82,98.23,relay
63,99,24.59,relay
63,118,103.46,relay
63,128,96.96,relay
63,169,23.12,relay
63,211,24.13,relay
63,234,27.17,relay
63,236,45.26,relay
63,261,44.02,relay
63,267,44.68,relay
63,277,38.42,relay
63,281,25.14,relay
63,290,66.04,relay
63,297,19.57,relay
63,332,18.78,relay
63,361,69.61,relay
63,406,31.23,relay
76,99,92.71,relay
76,169,111.06,relay
76,211,115.60,relay
76,234,98.28,relay
76,236,53.30,relay
76,261,60.80,relay
76,267,54.14,relay
76,277,87.14,relay
76,281,89.73,relay
76,290,33.03,relay
76,297,99.90,relay
76,332,87.61,relay
76,339,89.94,relay
76,361,33.76,relay
76,406,74.93,relay
79,99,86.43,relay
79,118,15.22,relay
79,169,104.51,relay
79,211,108.44,relay
79,234,91.76,relay
79,236,46.74,relay
79,261,55.51,relay
79,267,47.75,relay
79,277,80.68,relay
79,281,82.69,relay
79,290,26.80,relay
79,297,91.90,relay
79,332,80.50,relay
79,339,82.15,relay
79,361,28.40,relay
79,406,66.68,relay
82,99,92.46,relay
82,169,111.37,relay
82,211,115.16,relay
82,234,97.28,relay
82,236,54.21,relay
82,261,62.36,relay
82,267,56.02,relay
82,277,84.78,relay
82,281,88.41,relay
82,290,36.72,relay
82,297,99.07,relay
82,332,87.07,relay
82,339,90.21,relay
82,361,31.74,relay
82,406,74.09,relay
99,118,98.33,relay
99,128,94.06,relay
99,169,20.40,relay
99,211,27.20,relay
99,236,40.45,relay
99,261,35.05,relay
99,267,41.78,relay
99,277,21.91,relay
99,281,15.20,relay
99,290,64.26,relay
99,297,32.21,relay
99,339,27.88,relay
99,361,61.13,relay
99,406,37.78,relay
118,169,117.13,relay
118,211,120.60,relay
118,234,103.01,relay
118,236,59.90,relay
118,261,68.42,relay
118,267,61.63,relay
118,277,90.31,relay
118,281,93.87,relay
118,290,41.72,relay
118,297,103.83,relay
118,332,92.54,relay
118,339,95.16,relay
118,361,37.73,relay
118,406,78.59,relay
128,169,112.16,relay
128,211,114.89,relay
128,234,98.57,relay
128,236,55.16,relay
128,261,65.15,relay
128,267,56.73,relay
128,277,86.32,relay
128,281,88.72,relay
128,290,36.74,relay
128,297,96.71,relay
128,332,87.07,relay
128,339,88.14,relay
128,361,35.66,relay
128,406,71.07,relay
169,234,20.35,relay
169,236,57.86,relay
169,261,52.21,relay
169,267,57.95,relay
169,277,38.46,relay
169,281,29.01,relay
169,290,80.77,relay
169,297,33.35,relay
169,332,26.92,relay
169,339,32.46,relay
169,361,80.56,relay
169,406,49.50,relay
211,234,22.46,relay
211,236,62.91,relay
211,261,59.98,relay
211,267,63.74,relay
211,277,38.21,relay
211,281,28.21,relay
211,290,85.95,relay
211,297,25.50,relay
211,332,28.10,relay
211,339,31.02,relay
211,361,84.58,relay
211,406,47.40,relay
234,236,46.87,relay
234,261,43.10,relay
234,267,48.95,relay
234,277,18.25,relay
234,290,70.90,relay
234,297,29.23,relay
234,332,15.35,relay
234,339,29.72,relay
234,361,65.80,relay
234,406,39.11,relay
236,277,40.72,relay
236,281,39.18,relay
236,290,24.05,relay
236,297,50.71,relay
236,332,35.48,relay
236,339,39.40,relay
236,361,25.97,relay
236,406,30.70,relay
261,277,40.31,relay
261,281,38.83,relay
261,290,32.20,relay
261,297,53.33,relay
261,332,34.75,relay
261,339,41.46,relay
261,361,33.86,relay
261,406,38.80,relay
267,277,44.79,relay
267,281,41.89,relay
267,290,22.86,relay
267,297,52.06,relay
267,332,37.24,relay
267,339,39.55,relay
267,361,29.78,relay
267,406,32.83,relay
277,290,63.74,relay
277,297,34.42,relay
277,332,20.16,relay
277,339,35.36,relay
277,361,53.67,relay
277,406,34.39,relay
281,290,62.75,relay
281,297,22.67,relay
281,339,22.65,relay
281,361,57.57,relay
281,406,27.39,relay
290,297,71.36,relay
290,332,58.88,relay
290,339,59.48,relay
290,361,23.39,relay
290,406,47.95,relay
297,332,21.36,relay
297,361,70.97,relay
297,406,25.80,relay
332,339,16.65,relay
332,361,56.60,relay
332,406,24.66,relay
339,361,62.41,relay
339,406,20.14,relay
361,406,48.17,relay
